week,date,time,home_team,away_team,home_score,away_score,status,team,player,number,points,2pm,3pm,ftm,fta,fouls,forfeit_team
1,2026-09-19,10:00,Auroras,Lobos,72,88,finished,Lobos,Hugo Ortega,11,3,0,1,0,2,2,
1,2026-09-19,10:00,Auroras,Lobos,72,88,finished,Lobos,Sergio Martínez,12,5,0,1,2,2,1,
1,2026-09-19,10:00,Auroras,Lobos,72,88,finished,Lobos,César Navarro,13,11,0,1,8,8,4,
1,2026-09-19,10:00,Auroras,Lobos,72,88,finished,Lobos,Sergio García,14,5,1,1,0,0,0,
1,2026-09-19,10:00,Auroras,Lobos,72,88,finished,Lobos,Álvaro Rodríguez,15,3,0,1,0,0,0,
1,2026-09-19,10:00,Auroras,Lobos,72,88,finished,Lobos,César Castro,16,7,0,1,4,6,5,
1,2026-09-19,10:00,Auroras,Lobos,72,88,finished,Lobos,Pau Ruiz,17,7,1,0,5,5,5,
1,2026-09-19,10:00,Auroras,Lobos,72,88,finished,Lobos,Mario García,18,10,1,2,2,3,5,
1,2026-09-19,11:30,Dragones,Halcones,71,70,finished,Dragones,Iker Navarro,4,5,1,1,0,0,5,
1,2026-09-19,11:30,Dragones,Halcones,71,70,finished,Dragones,Rubén Molina,5,5,2,0,1,1,1,
1,2026-09-19,11:30,Dragones,Halcones,71,70,finished,Dragones,César Fernández,6,5,2,0,1,1,5,
1,2026-09-19,11:30,Dragones,Halcones,71,70,finished,Dragones,Álvaro Navarro,7,6,0,2,0,0,0,
1,2026-09-19,11:30,Dragones,Halcones,71,70,finished,Dragones,Adrià Navarro,8,10,1,1,5,5,4,
1,2026-09-19,11:30,Dragones,Halcones,71,70,finished,Dragones,Adrià Rodríguez,9,4,2,0,0,0,0,
1,2026-09-19,11:30,Dragones,Halcones,71,70,finished,Dragones,Marc Pérez,10,1,0,0,1,1,0,
1,2026-09-19,11:30,Dragones,Halcones,71,70,finished,Dragones,Rubén Ramírez,11,9,2,1,2,2,4,
1,2026-09-19,11:30,Dragones,Halcones,71,70,finished,Dragones,Álvaro García,12,8,1,1,3,4,5,
1,2026-09-19,11:30,Dragones,Halcones,71,70,finished,Dragones,Carlos Gómez,13,4,0,1,1,1,5,
1,2026-09-19,11:30,Dragones,Halcones,71,70,finished,Dragones,Sergio Fernández,14,0,0,0,0,0,3,
1,2026-09-19,11:30,Dragones,Halcones,71,70,finished,Dragones,Hugo López,15,4,0,1,1,1,3,
1,2026-09-19,11:30,Dragones,Halcones,71,70,finished,Dragones,Guillem Ortega,16,4,1,0,2,4,3,
1,2026-09-19,11:30,Dragones,Halcones,71,70,finished,Dragones,Bruno Gómez,17,0,0,0,0,0,2,
1,2026-09-19,11:30,Dragones,Halcones,71,70,finished,Dragones,Éric Ortega,18,6,1,1,1,3,3,
1,2026-09-19,11:30,Dragones,Halcones,71,70,finished,Halcones,Nacho Pérez,4,6,1,1,1,1,3,
1,2026-09-19,11:30,Dragones,Halcones,71,70,finished,Halcones,Lucas Rodríguez,5,5,1,1,0,0,1,
1,2026-09-19,11:30,Dragones,Halcones,71,70,finished,Halcones,Adrià Ruiz,6,3,1,0,1,1,4,
1,2026-09-19,11:30,Dragones,Halcones,71,70,finished,Halcones,Rubén Vidal,7,1,0,0,1,1,2,
1,2026-09-19,11:30,Dragones,Halcones,71,70,finished,Halcones,Sergio Sánchez,8,10,0,3,1,1,1,
1,2026-09-19,11:30,Dragones,Halcones,71,70,finished,Halcones,Rubén Ramírez,9,1,0,0,1,3,2,
1,2026-09-19,11:30,Dragones,Halcones,71,70,finished,Halcones,Iker Martínez,10,10,0,2,4,4,1,
1,2026-09-19,11:30,Dragones,Halcones,71,70,finished,Halcones,Pau Pérez,11,8,3,0,2,4,3,
1,2026-09-19,11:30,Dragones,Halcones,71,70,finished,Halcones,Adrià Gómez,12,5,2,0,1,1,5,
1,2026-09-19,11:30,Dragones,Halcones,71,70,finished,Halcones,Carlos Rodríguez,13,7,0,0,7,7,4,
1,2026-09-19,11:30,Dragones,Halcones,71,70,finished,Halcones,Sergio Molina,14,0,0,0,0,0,1,
1,2026-09-19,11:30,Dragones,Halcones,71,70,finished,Halcones,Sergio López,15,4,1,0,2,2,4,
1,2026-09-19,11:30,Dragones,Halcones,71,70,finished,Halcones,Álvaro Vidal,16,3,0,1,0,1,5,
1,2026-09-19,11:30,Dragones,Halcones,71,70,finished,Halcones,Éric Ortega,17,1,0,0,1,1,4,
1,2026-09-19,11:30,Dragones,Halcones,71,70,finished,Halcones,Rubén Torres,18,6,0,1,3,3,0,
1,2026-09-19,13:00,Fulgor,Toros,80,68,finished,Fulgor,Guillem García,4,9,4,0,1,1,0,
1,2026-09-19,13:00,Fulgor,Toros,80,68,finished,Fulgor,Bruno Moreno,5,4,0,0,4,4,1,
1,2026-09-19,13:00,Fulgor,Toros,80,68,finished,Fulgor,Hugo Ramírez,6,7,1,1,2,2,3,
1,2026-09-19,13:00,Fulgor,Toros,80,68,finished,Fulgor,Lucas Martín,7,5,1,0,3,3,2,
1,2026-09-19,13:00,Fulgor,Toros,80,68,finished,Fulgor,César Jiménez,8,3,0,1,0,0,1,
1,2026-09-19,13:00,Fulgor,Toros,80,68,finished,Fulgor,Carlos Serrano,9,7,0,0,7,7,0,
1,2026-09-19,13:00,Fulgor,Toros,80,68,finished,Fulgor,César Fernández,10,4,1,0,2,2,4,
1,2026-09-19,13:00,Fulgor,Toros,80,68,finished,Fulgor,Álvaro Gómez,11,8,0,2,2,2,1,
1,2026-09-19,13:00,Fulgor,Toros,80,68,finished,Fulgor,Sergio Rodríguez,12,5,1,1,0,0,4,
1,2026-09-19,13:00,Fulgor,Toros,80,68,finished,Fulgor,Nacho Jiménez,13,5,0,1,2,2,2,
1,2026-09-19,13:00,Fulgor,Toros,80,68,finished,Fulgor,Marc Martínez,14,3,0,0,3,5,1,
1,2026-09-19,13:00,Fulgor,Toros,80,68,finished,Fulgor,Guillem Ortega,15,3,1,0,1,1,1,
1,2026-09-19,13:00,Fulgor,Toros,80,68,finished,Fulgor,Dani Navarro,16,3,0,0,3,4,4,
1,2026-09-19,13:00,Fulgor,Toros,80,68,finished,Fulgor,Dani Rodríguez,17,7,2,0,3,5,1,
1,2026-09-19,13:00,Fulgor,Toros,80,68,finished,Fulgor,Hugo Martínez,18,7,0,2,1,3,4,
1,2026-09-19,13:00,Fulgor,Toros,80,68,finished,Toros,Lucas García,4,1,0,0,1,1,4,
1,2026-09-19,13:00,Fulgor,Toros,80,68,finished,Toros,Adrià Navarro,5,5,2,0,1,1,2,
1,2026-09-19,13:00,Fulgor,Toros,80,68,finished,Toros,Guillem Rodríguez,6,9,1,1,4,4,0,
1,2026-09-19,13:00,Fulgor,Toros,80,68,finished,Toros,Sergio Ramírez,7,4,0,0,4,5,3,
1,2026-09-19,13:00,Fulgor,Toros,80,68,finished,Toros,Javier Castro,8,6,1,1,1,1,4,
1,2026-09-19,13:00,Fulgor,Toros,80,68,finished,Toros,Pau Navarro,9,5,1,0,3,3,2,
1,2026-09-19,13:00,Fulgor,Toros,80,68,finished,Toros,Adrià Gómez,10,1,0,0,1,2,2,
1,2026-09-19,13:00,Fulgor,Toros,80,68,finished,Toros,Éric Ramírez,11,6,1,1,1,3,0,
1,2026-09-19,13:00,Fulgor,Toros,80,68,finished,Toros,Dani Martín,12,8,1,1,3,5,2,
1,2026-09-19,13:00,Fulgor,Toros,80,68,finished,Toros,Dani Rodríguez,13,6,2,0,2,2,5,
1,2026-09-19,13:00,Fulgor,Toros,80,68,finished,Toros,Pablo Ortega,14,4,0,0,4,5,2,
1,2026-09-19,13:00,Fulgor,Toros,80,68,finished,Toros,Javier Fernández,15,2,1,0,0,0,0,
1,2026-09-19,13:00,Fulgor,Toros,80,68,finished,Toros,Álvaro López,16,7,0,2,1,1,2,
1,2026-09-19,13:00,Fulgor,Toros,80,68,finished,Toros,Éric Navarro,17,4,0,1,1,1,4,
1,2026-09-19,13:00,Fulgor,Toros,80,68,finished,Toros,Marc Pérez,18,0,0,0,0,0,5,
2,2026-09-26,08:30,Cebras,Lobos,69,89,finished,Cebras,Dani Moreno,4,4,0,1,1,1,3,
2,2026-09-26,08:30,Cebras,Lobos,69,89,finished,Cebras,Pau Ruiz,5,6,3,0,0,0,4,
2,2026-09-26,08:30,Cebras,Lobos,69,89,finished,Cebras,Mario Sánchez,6,6,0,2,0,0,2,
2,2026-09-26,08:30,Cebras,Lobos,69,89,finished,Cebras,Adrià Moreno,7,6,0,1,3,3,3,
2,2026-09-26,08:30,Cebras,Lobos,69,89,finished,Cebras,Hugo Moreno,8,8,1,1,3,3,4,
2,2026-09-26,08:30,Cebras,Lobos,69,89,finished,Cebras,Marc Torres,9,5,0,1,2,2,2,
2,2026-09-26,08:30,Cebras,Lobos,69,89,finished,Cebras,Álvaro Jiménez,10,2,1,0,0,0,0,
2,2026-09-26,08:30,Cebras,Lobos,69,89,finished,Cebras,Nico Ramírez,11,4,2,0,0,0,4,
2,2026-09-26,08:30,Cebras,Lobos,69,89,finished,Cebras,Pau Fernández,12,6,0,2,0,0,2,
2,2026-09-26,08:30,Cebras,Lobos,69,89,finished,Cebras,Hugo Serrano,13,6,1,1,1,1,4,
2,2026-09-26,08:30,Cebras,Lobos,69,89,finished,Cebras,Sergio Rodríguez,14,4,0,1,1,1,5,
2,2026-09-26,08:30,Cebras,Lobos,69,89,finished,Cebras,Carlos Gómez,15,0,0,0,0,0,2,
2,2026-09-26,08:30,Cebras,Lobos,69,89,finished,Cebras,Carlos Martínez,16,7,3,0,1,1,2,
2,2026-09-26,08:30,Cebras,Lobos,69,89,finished,Cebras,Nacho Martínez,17,3,0,1,0,0,2,
2,2026-09-26,08:30,Cebras,Lobos,69,89,finished,Cebras,Iker Moreno,18,2,0,0,2,3,4,
2,2026-09-26,08:30,Cebras,Lobos,69,89,finished,Lobos,Adrià Sánchez,4,8,0,1,5,6,1,
2,2026-09-26,08:30,Cebras,Lobos,69,89,finished,Lobos,Iker García,5,7,0,0,7,7,0,
2,2026-09-26,08:30,Cebras,Lobos,69,89,finished,Lobos,Rubén García,6,6,1,1,1,1,1,
2,2026-09-26,08:30,Cebras,Lobos,69,89,finished,Lobos,Hugo Gómez,7,11,0,3,2,3,5,
2,2026-09-26,08:30,Cebras,Lobos,69,89,finished,Lobos,Guillem García,8,8,1,0,6,6,4,
2,2026-09-26,08:30,Cebras,Lobos,69,89,finished,Lobos,César Martínez,9,9,1,1,4,4,3,
2,2026-09-26,08:30,Cebras,Lobos,69,89,finished,Lobos,Nico Molina,10,2,1,0,0,0,2,
2,2026-09-26,08:30,Cebras,Lobos,69,89,finished,Lobos,Hugo Ortega,11,2,0,0,2,4,4,
2,2026-09-26,08:30,Cebras,Lobos,69,89,finished,Lobos,Sergio Martínez,12,5,0,1,2,2,2,
2,2026-09-26,08:30,Cebras,Lobos,69,89,finished,Lobos,César Navarro,13,1,0,0,1,1,4,
2,2026-09-26,08:30,Cebras,Lobos,69,89,finished,Lobos,Sergio García,14,9,0,0,9,9,1,
2,2026-09-26,08:30,Cebras,Lobos,69,89,finished,Lobos,Álvaro Rodríguez,15,1,0,0,1,3,1,
2,2026-09-26,08:30,Cebras,Lobos,69,89,finished,Lobos,César Castro,16,4,2,0,0,0,2,
2,2026-09-26,08:30,Cebras,Lobos,69,89,finished,Lobos,Pau Ruiz,17,7,1,0,5,7,2,
2,2026-09-26,08:30,Cebras,Lobos,69,89,finished,Lobos,Mario García,18,9,2,1,2,2,2,
2,2026-09-26,10:00,Vikingos,Halcones,75,78,finished,Vikingos,Iker García,4,6,0,2,0,0,0,
2,2026-09-26,10:00,Vikingos,Halcones,75,78,finished,Vikingos,César Jiménez,5,2,0,0,2,3,5,
2,2026-09-26,10:00,Vikingos,Halcones,75,78,finished,Vikingos,Mario Navarro,6,3,0,1,0,0,3,
2,2026-09-26,10:00,Vikingos,Halcones,75,78,finished,Vikingos,Nacho Pérez,7,1,0,0,1,1,1,
2,2026-09-26,10:00,Vikingos,Halcones,75,78,finished,Vikingos,César Navarro,8,7,0,1,4,4,2,
2,2026-09-26,10:00,Vikingos,Halcones,75,78,finished,Vikingos,Sergio Sánchez,9,3,0,0,3,5,2,
2,2026-09-26,10:00,Vikingos,Halcones,75,78,finished,Vikingos,Sergio Pérez,10,8,2,1,1,1,5,
2,2026-09-26,10:00,Vikingos,Halcones,75,78,finished,Vikingos,Hugo Ramírez,11,7,0,2,1,1,0,
2,2026-09-26,10:00,Vikingos,Halcones,75,78,finished,Vikingos,Álvaro Gómez,12,8,0,2,2,4,4,
2,2026-09-26,10:00,Vikingos,Halcones,75,78,finished,Vikingos,Éric García,13,10,0,2,4,4,5,
2,2026-09-26,10:00,Vikingos,Halcones,75,78,finished,Vikingos,Dani Molina,14,6,1,1,1,1,5,
2,2026-09-26,10:00,Vikingos,Halcones,75,78,finished,Vikingos,Carlos Castro,15,3,1,0,1,1,0,
2,2026-09-26,10:00,Vikingos,Halcones,75,78,finished,Vikingos,Pablo Molina,16,2,1,0,0,0,2,
2,2026-09-26,10:00,Vikingos,Halcones,75,78,finished,Vikingos,Marc López,17,2,0,0,2,4,4,
2,2026-09-26,10:00,Vikingos,Halcones,75,78,finished,Vikingos,César Pérez,18,7,0,2,1,1,2,
2,2026-09-26,10:00,Vikingos,Halcones,75,78,finished,Halcones,Nacho Pérez,4,4,1,0,2,3,5,
2,2026-09-26,10:00,Vikingos,Halcones,75,78,finished,Halcones,Lucas Rodríguez,5,8,0,0,8,8,2,
2,2026-09-26,10:00,Vikingos,Halcones,75,78,finished,Halcones,Adrià Ruiz,6,5,0,1,2,2,4,
2,2026-09-26,10:00,Vikingos,Halcones,75,78,finished,Halcones,Rubén Vidal,7,4,0,0,4,4,2,
2,2026-09-26,10:00,Vikingos,Halcones,75,78,finished,Halcones,Sergio Sánchez,8,3,0,1,0,0,3,
2,2026-09-26,10:00,Vikingos,Halcones,75,78,finished,Halcones,Rubén Ramírez,9,1,0,0,1,1,3,
2,2026-09-26,10:00,Vikingos,Halcones,75,78,finished,Halcones,Iker Martínez,10,9,2,1,2,2,5,
2,2026-09-26,10:00,Vikingos,Halcones,75,78,finished,Halcones,Pau Pérez,11,8,0,2,2,2,2,
2,2026-09-26,10:00,Vikingos,Halcones,75,78,finished,Halcones,Adrià Gómez,12,8,0,2,2,2,5,
2,2026-09-26,10:00,Vikingos,Halcones,75,78,finished,Halcones,Carlos Rodríguez,13,3,1,0,1,1,5,
2,2026-09-26,10:00,Vikingos,Halcones,75,78,finished,Halcones,Sergio Molina,14,3,0,0,3,3,4,
2,2026-09-26,10:00,Vikingos,Halcones,75,78,finished,Halcones,Sergio López,15,4,0,1,1,1,3,
2,2026-09-26,10:00,Vikingos,Halcones,75,78,finished,Halcones,Álvaro Vidal,16,7,0,1,4,4,0,
2,2026-09-26,10:00,Vikingos,Halcones,75,78,finished,Halcones,Éric Ortega,17,6,2,0,2,2,3,
2,2026-09-26,10:00,Vikingos,Halcones,75,78,finished,Halcones,Rubén Torres,18,5,2,0,1,1,1,
2,2026-09-26,11:30,Auroras,Toros,82,72,finished,Auroras,Pau Fernández,4,8,0,0,8,8,3,
2,2026-09-26,11:30,Auroras,Toros,82,72,finished,Auroras,Nico Pérez,5,12,0,4,0,0,0,
2,2026-09-26,11:30,Auroras,Toros,82,72,finished,Auroras,Carlos Gómez,6,7,2,1,0,0,0,
2,2026-09-26,11:30,Auroras,Toros,82,72,finished,Auroras,Éric Vidal,7,6,0,2,0,2,3,
2,2026-09-26,11:30,Auroras,Toros,82,72,finished,Auroras,Mario Jiménez,8,3,0,1,0,0,3,
2,2026-09-26,11:30,Auroras,Toros,82,72,finished,Auroras,Guillem Rodríguez,9,9,1,1,4,4,0,
2,2026-09-26,11:30,Auroras,Toros,82,72,finished,Auroras,Carlos Ortega,10,2,1,0,0,0,1,
2,2026-09-26,11:30,Auroras,Toros,82,72,finished,Auroras,Marc García,11,1,0,0,1,1,4,
2,2026-09-26,11:30,Auroras,Toros,82,72,finished,Auroras,Álvaro Molina,12,6,0,2,0,0,0,
2,2026-09-26,11:30,Auroras,Toros,82,72,finished,Auroras,Pau Ruiz,13,3,0,1,0,0,2,
2,2026-09-26,11:30,Auroras,Toros,82,72,finished,Auroras,Lucas Fernández,14,3,0,0,3,4,1,
2,2026-09-26,11:30,Auroras,Toros,82,72,finished,Auroras,Rubén Martínez,15,6,3,0,0,0,0,
2,2026-09-26,11:30,Auroras,Toros,82,72,finished,Auroras,Hugo Vidal,16,5,0,1,2,2,2,
2,2026-09-26,11:30,Auroras,Toros,82,72,finished,Auroras,Guillem Moreno,17,1,0,0,1,1,5,
2,2026-09-26,11:30,Auroras,Toros,82,72,finished,Auroras,Carlos Molina,18,10,0,2,4,4,1,
2,2026-09-26,11:30,Auroras,Toros,82,72,finished,Toros,Lucas García,4,4,0,1,1,1,0,
2,2026-09-26,11:30,Auroras,Toros,82,72,finished,Toros,Adrià Navarro,5,7,1,0,5,5,1,
2,2026-09-26,11:30,Auroras,Toros,82,72,finished,Toros,Guillem Rodríguez,6,5,0,0,5,6,4,
2,2026-09-26,11:30,Auroras,Toros,82,72,finished,Toros,Sergio Ramírez,7,3,1,0,1,1,2,
2,2026-09-26,11:30,Auroras,Toros,82,72,finished,Toros,Javier Castro,8,2,0,0,2,2,0,
2,2026-09-26,11:30,Auroras,Toros,82,72,finished,Toros,Pau Navarro,9,5,0,1,2,2,1,
2,2026-09-26,11:30,Auroras,Toros,82,72,finished,Toros,Adrià Gómez,10,4,0,1,1,1,2,
2,2026-09-26,11:30,Auroras,Toros,82,72,finished,Toros,Éric Ramírez,11,10,1,1,5,5,0,
2,2026-09-26,11:30,Auroras,Toros,82,72,finished,Toros,Dani Martín,12,3,1,0,1,1,0,
2,2026-09-26,11:30,Auroras,Toros,82,72,finished,Toros,Dani Rodríguez,13,2,0,0,2,3,5,
2,2026-09-26,11:30,Auroras,Toros,82,72,finished,Toros,Pablo Ortega,14,4,0,1,1,1,1,
2,2026-09-26,11:30,Auroras,Toros,82,72,finished,Toros,Javier Fernández,15,9,1,0,7,7,2,
2,2026-09-26,11:30,Auroras,Toros,82,72,finished,Toros,Álvaro López,16,8,1,1,3,3,4,
2,2026-09-26,11:30,Auroras,Toros,82,72,finished,Toros,Éric Navarro,17,3,0,1,0,2,3,
2,2026-09-26,11:30,Auroras,Toros,82,72,finished,Toros,Marc Pérez,18,3,1,0,1,1,2,
2,2026-09-26,13:00,Dragones,Fulgor,71,87,finished,Dragones,Iker Navarro,4,4,0,0,4,4,3,
2,2026-09-26,13:00,Dragones,Fulgor,71,87,finished,Dragones,Rubén Molina,5,5,1,1,0,0,0,
2,2026-09-26,13:00,Dragones,Fulgor,71,87,finished,Dragones,César Fernández,6,1,0,0,1,2,4,
2,2026-09-26,13:00,Dragones,Fulgor,71,87,finished,Dragones,Álvaro Navarro,7,5,1,0,3,3,0,
2,2026-09-26,13:00,Dragones,Fulgor,71,87,finished,Dragones,Adrià Navarro,8,10,1,2,2,2,2,
2,2026-09-26,13:00,Dragones,Fulgor,71,87,finished,Dragones,Adrià Rodríguez,9,9,1,2,1,1,1,
2,2026-09-26,13:00,Dragones,Fulgor,71,87,finished,Dragones,Marc Pérez,10,3,0,1,0,0,0,
2,2026-09-26,13:00,Dragones,Fulgor,71,87,finished,Dragones,Rubén Ramírez,11,5,2,0,1,1,2,
2,2026-09-26,13:00,Dragones,Fulgor,71,87,finished,Dragones,Álvaro García,12,4,0,1,1,1,0,
2,2026-09-26,13:00,Dragones,Fulgor,71,87,finished,Dragones,Carlos Gómez,13,6,3,0,0,0,3,
2,2026-09-26,13:00,Dragones,Fulgor,71,87,finished,Dragones,Sergio Fernández,14,5,1,0,3,3,0,
2,2026-09-26,13:00,Dragones,Fulgor,71,87,finished,Dragones,Hugo López,15,9,2,1,2,3,4,
2,2026-09-26,13:00,Dragones,Fulgor,71,87,finished,Dragones,Guillem Ortega,16,1,0,0,1,1,0,
2,2026-09-26,13:00,Dragones,Fulgor,71,87,finished,Dragones,Bruno Gómez,17,2,0,0,2,2,5,
2,2026-09-26,13:00,Dragones,Fulgor,71,87,finished,Dragones,Éric Ortega,18,2,1,0,0,0,5,
2,2026-09-26,13:00,Dragones,Fulgor,71,87,finished,Fulgor,Guillem García,4,1,0,0,1,1,4,
2,2026-09-26,13:00,Dragones,Fulgor,71,87,finished,Fulgor,Bruno Moreno,5,11,1,3,0,0,3,
2,2026-09-26,13:00,Dragones,Fulgor,71,87,finished,Fulgor,Hugo Ramírez,6,10,5,0,0,0,2,
2,2026-09-26,13:00,Dragones,Fulgor,71,87,finished,Fulgor,Lucas Martín,7,3,1,0,1,2,5,
2,2026-09-26,13:00,Dragones,Fulgor,71,87,finished,Fulgor,César Jiménez,8,11,3,0,5,5,2,
2,2026-09-26,13:00,Dragones,Fulgor,71,87,finished,Fulgor,Carlos Serrano,9,10,0,0,10,10,2,
2,2026-09-26,13:00,Dragones,Fulgor,71,87,finished,Fulgor,César Fernández,10,4,2,0,0,1,5,
2,2026-09-26,13:00,Dragones,Fulgor,71,87,finished,Fulgor,Álvaro Gómez,11,7,0,1,4,4,5,
2,2026-09-26,13:00,Dragones,Fulgor,71,87,finished,Fulgor,Sergio Rodríguez,12,2,1,0,0,2,1,
2,2026-09-26,13:00,Dragones,Fulgor,71,87,finished,Fulgor,Nacho Jiménez,13,1,0,0,1,2,2,
